epoch metrics/precision(B) metrics/recall(B) metrics/mAP50(B) metrics/mAP50-95(B)
347 0.78988 0.81252 0.84097 0.72703
348 0.78724 0.82236 0.8403 0.72505
349 0.81226 0.79162 0.8388 0.72379
350 0.79459 0.80781 0.84122 0.72495
351 0.78008 0.82026 0.84364 0.72614
352 0.78541 0.81496 0.84534 0.7277
353 0.78829 0.81394 0.84406 0.7267
354 0.83039 0.76992 0.84586 0.72893
355 0.80412 0.80206 0.84867 0.73133
356 0.79536 0.80907 0.84853 0.72991
357 0.81319 0.80463 0.84721 0.72824
358 0.80969 0.81201 0.84907 0.72838
359 0.80842 0.81319 0.85241 0.73112
360 0.81262 0.81416 0.85247 0.73211
361 0.81828 0.80809 0.85247 0.7308
362 0.81593 0.80461 0.85093 0.73043
363 0.81802 0.80246 0.8492 0.72816
364 0.82044 0.79733 0.84861 0.72858
365 0.81573 0.79924 0.85027 0.73104
366 0.82017 0.80163 0.85228 0.73315
367 0.82929 0.79868 0.85236 0.733
368 0.82751 0.80139 0.85358 0.73177
369 0.83254 0.79643 0.8547 0.73305
370 0.81295 0.80982 0.85309 0.73186
371 0.82338 0.80581 0.85143 0.7293
372 0.82861 0.80361 0.85275 0.73289
373 0.8175 0.81223 0.84978 0.7307
374 0.82385 0.7967 0.84958 0.72941
375 0.83948 0.79121 0.85022 0.72861
376 0.84105 0.78447 0.84939 0.72804
377 0.84382 0.78195 0.84983 0.72641
378 0.83645 0.78714 0.84839 0.7242
379 0.83317 0.78021 0.84841 0.72498
380 0.82429 0.79343 0.84812 0.72543
381 0.83635 0.777 0.8485 0.72715
382 0.83791 0.77239 0.84858 0.72614
383 0.82839 0.777 0.84869 0.72606
384 0.82807 0.78444 0.84841 0.72653
385 0.82895 0.79083 0.84677 0.72538
386 0.82303 0.79572 0.84703 0.72446
387 0.82268 0.79187 0.84585 0.72241
388 0.80571 0.80895 0.84613 0.72314
389 0.81513 0.79272 0.84615 0.72325
390 0.81879 0.7941 0.84568 0.72413
391 0.82095 0.79345 0.8472 0.72528
392 0.82427 0.79758 0.84782 0.72648
393 0.82017 0.79629 0.85 0.72934
394 0.82543 0.79198 0.84962 0.72983
395 0.79554 0.82136 0.85064 0.73022
396 0.81142 0.80358 0.84978 0.72995
397 0.81162 0.81225 0.85029 0.72955
398 0.80882 0.81488 0.85172 0.73038
399 0.81957 0.81001 0.85209 0.72972
400 0.82676 0.81258 0.84997 0.72809
401 0.82613 0.81116 0.84894 0.72801
402 0.83524 0.79589 0.84833 0.72695
403 0.82473 0.80766 0.84933 0.72672
404 0.81889 0.81552 0.84803 0.72406
405 0.84138 0.79348 0.8473 0.72409
406 0.84122 0.79891 0.84919 0.72638
407 0.84876 0.79304 0.85233 0.72806
